Id,Domanda,Opzione corretta,Opzioni
10,A norma di quanto dispone il Codice dei contratti pubblici in quale momento le stazioni appaltanti individuano i criteri di selezione delle offerte?,d,"a) Tra l'altro mediante un avviso periodico indicativo, che viene pubblicato in maniera continuativa
 b) Si, lo prevede espressamente il Codice dei contratti pubblici senza rinunciare al livello qualitativo delle prestazioni
 c) Si, sempre
 d) Prima dell'avvio delle procedure di affidamento
 "
11,"A norma di quanto dispone il Codice dei contratti pubblici, in quale momento le stazioni appaltanti decretano o determinano di contrarre?",c,"a) Deve essere effettuato non oltre 6 mesi dopo l'ultimazione dei lavori, salvo casi particolari
 b) La garanzia è progressivamente svincolata a misura dell'avanzamento dell'esecuzione, nel limite massimo dell'80% dell'iniziale importo garantito, senza necessità di nulla osta del committente, ma con preventiva consegna degli stati di avanzamento lavori o documenti analoghi, attestanti l'avvenuta esecuzione
 c) Prima dell'avvio delle procedure di affidamento
 d) limitata e determinata nel bando di gara dall'amministrazione aggiudicatrice o dall'ente aggiudicatore in funzione dei lavori o servizi richiesti al concessionario
 "
12,A quale dei seguenti istituti può ricorrere l'operatore economico carente dei requisiti tecnico professionali ed economico finanziari richiesti per la partecipazione ad una gara d'appalto?,c,"a) Procedura ristretta
 b) all'avvalimento
 c) Avvalimento
 d) Procedura ristretta
 "
13,"A seguito di verifica di inadempienza nel regolare adempimento degli obblighi contrattuali del contraente generale verso i propri affidatari, il soggetto aggiudicatore:",b,"a) sono resi disponibili in forma digitale, in modo gratuito, illimitato e diretto
 b) applica una detrazione sui successivi pagamenti e procede al pagamento diretto all'affidatario, nonché applica le eventuali diverse sanzioni previste nel contratto
 c) regole di diritto privato
 d) dell'affidamento diretto, della procedura aperta, della procedura negoziata o della procedura negoziata con un solo operatore
 "
14,"Ai fini del Codice dei contratti pubblici, le procedure intese a fornire alle stazioni appaltanti, nel settore dell'architettura, dell'ingegneria, del restauro e della tutela dei beni culturali e archeologici, della pianificazione urbanistica e territoriale, paesaggistica, naturalistica, geologica, del verde urbano e del paesaggio forestale agronomico, nonché nel settore della messa in sicurezza e della mitigazione degli impatti idrogeologici ed idraulici e dell'elaborazione di dati, un piano o un progetto, selezionato da una commissione giudicatrice in base a una gara, con o senza assegnazione di premi costituiscono:",a,"a) I concorsi di progettazione
 b) linee guida, bandi-tipo, capitolati-tipo, contratti-tipo ed altri strumenti di regolazione flessibile, comunque denominati
 c) verifica esclusivamente il possesso da parte dell'aggiudicatario dei requisiti economici e finanziari e tecnico-professionali
 d) decretano o determinano di contrarre, individuando gli elementi essenziali del contratto e i criteri di selezione degli operatori economici e delle offerte
 "
15,"Ai fini del Codice dei contratti pubblici, per ""candidato"" si intende:",d,"a) Un processo per fasi successive basato su un dispositivo elettronico di presentazione di nuovi prezzi modificati al ribasso o di nuovi valori riguardanti taluni elementi delle offerte, che interviene dopo una prima valutazione completa delle offerte permettendo che la loro classificazione possa essere effettuata sulla base di un trattamento automatico
 b) Indicare il Mercato Elettronico per la Pubblica Amministrazione messo a disposizione dalla CONSIP SPA per gli acquisti inferiori alle soglie comunitarie (art 35 D.Lgs 50/16)da parte della Pubblica Amministrazione
 c) dal responsabile unico del procedimento, congiuntamente al direttore dei lavori, per i lavori, o dal direttore dell'esecuzione del contratto, per i servizi e le forniture
 d) Un operatore economico che ha sollecitato un invito o è stato invitato a partecipare a una procedura ristretta, a una procedura competitiva con negoziazione, a una procedura negoziata senza previa pubblicazione di un bando di gara, a un dialogo competitivo o a un partenariato per l'innovazione o ad una procedura per l'aggiudicazione di una concessione
 "
16,"Ai fini del Codice dei contratti pubblici, per ""offerente"" si intende:",d,"a) Un operatore economico che ha sollecitato un invito o è stato invitato a partecipare a una procedura ristretta, a una procedura competitiva con negoziazione, a una procedura negoziata senza previa pubblicazione di un bando di gara, a un dialogo competitivo o a un partenariato per l'innovazione o ad una procedura per l'aggiudicazione di una concessione
 b) Un processo per fasi successive basato su un dispositivo elettronico di presentazione di nuovi prezzi modificati al ribasso o di nuovi valori riguardanti taluni elementi delle offerte, che interviene dopo una prima valutazione completa delle offerte permettendo che la loro classificazione possa essere effettuata sulla base di un trattamento automatico
 c) Indicare il Mercato Elettronico per la Pubblica Amministrazione messo a disposizione dalla CONSIP SPA per gli acquisti inferiori alle soglie comunitarie (art 35 D.Lgs 50/16)da parte della Pubblica Amministrazione
 d) L'operatore economico che ha presentato un'offerta
 "
17,"Ai fini del Codice dei contratti, l'operatore economico che ha presentato un'offerta assume la denominazione di:",b,"a) La domanda di partecipazione; il documento di gara unico europeo; l'offerta; ogni altro documento richiesto per la partecipazione alla procedura di gara
 b) offerente
 c) No, mai
 d) Un operatore economico che ha sollecitato un invito o è stato invitato a partecipare a una procedura ristretta, a una procedura competitiva con negoziazione, a una procedura negoziata senza previa pubblicazione di un bando di gara, a un dialogo competitivo o a un partenariato per l'innovazione o ad una procedura per l'aggiudicazione di una concessione
 "
18,Ai sensi del Codice dei Contratti la concessione di lavori:,a,"a) è una delle tipologie di contratto utilizzabile dalle pubbliche amministrazioni
 b) contestualmente all'adozione di ogni SAL e comunque entro un termine non superiore a sette giorni dall'adozione degli stessi
 c) Un processo per fasi successive basato su un dispositivo elettronico di presentazione di nuovi prezzi modificati al ribasso o di nuovi valori riguardanti taluni elementi delle offerte, che interviene dopo una prima valutazione completa delle offerte permettendo che la loro classificazione possa essere effettuata sulla base di un trattamento automatico
 d) La garanzia è progressivamente svincolata a misura dell'avanzamento dell'esecuzione, nel limite massimo dell'80% dell'iniziale importo garantito, senza necessità di nulla osta del committente, ma con preventiva consegna degli stati di avanzamento lavori o documenti analoghi, attestanti l'avvenuta esecuzione
 "
19,"Ai sensi del Codice dei contratti pubblici, prima dell'avvio delle procedure di affidamento dei contratti pubblici, le stazioni appaltanti:",a,"a) decretano o determinano di contrarre, individuando gli elementi essenziali del contratto e i criteri di selezione degli operatori economici e delle offerte
 b) verifica esclusivamente il possesso da parte dell'aggiudicatario dei requisiti economici e finanziari e tecnico-professionali
 c) pubblicano un avviso di indizione di gara precisando che si tratta di un sistema dinamico di acquisizione
 d) E' costituta da un numero dispari di commissari, non superiore a cinque
 "
20,"Ai sensi del Codice dei contratti, l'aggiudicazione definitiva diventa efficace:",c,"a) Deve indicare, tra l'altro, i criteri di selezione delle offerte
 b) alla natura, all'oggetto e alle caratteristiche del contratto
 c) dopo la verifica del possesso dei prescritti requisiti
 d) Deve indicare, tra l'altro, quanto indicato nelle altre alternative di risposta
 "
21,"Ai sensi del D.Lgs. 36/2023 Art. 140 comma 1, in circostanze di somma urgenza e senza indugio può essere disposta la immediata esecuzione dei lavori entro il limite di:",b,"a) affidamento diretto per lavori di importo inferiore a 150.000 euro, anche senza consultazione di più operatori economici
 b) 500.000 euro o di quanto indispensabile per rimuovere lo stato di pregiudizio alla pubblica e privata incolumità
 c) sono resi disponibili in forma digitale, in modo gratuito, illimitato e diretto
 d) a quattro anni, salvo casi eccezionali debitamente motivati
 "
22,"Ai sensi dell'art. 101 comma 1 del D.Lgs.36/2023, in merito al soccorso istruttorio al fine di far integrare agli operatori economici la documentazione mancante , ad esclusione della documentazione che compone l'offerta tecnica e l'offerta economica, la stazione appaltante assegna un termine :",a,"a) non inferiore a 5 giorni e non superiore a 10 giorni
 b) La domanda di partecipazione; il documento di gara unico europeo; l'offerta; ogni altro documento richiesto per la partecipazione alla procedura di gara
 c) sono resi disponibili in forma digitale, in modo gratuito, illimitato e diretto
 d) dal responsabile dell'unità organizzativa competente per l'intervento
 "
23,Ai sensi dell'art. 1322 c.c. le parti possono liberamente determinare:,c,"a) Sia previsto dalla legge o dal contratto medesimo
 b) entro trenta giorni dall'aggiudicazione
 c) Il contenuto del contratto
 d) fissa le regole per lo svolgimento del procedimento di selezione delle offerte
 "
24,"Ai sensi dell'art. 31 del D.Lgs. 36/2023, l'Anagrafe degli operatori economici, a qualunque titolo coinvolti nei contratti pubblici, è istituita presso:",b,"a) Sì, Su richiesta del RUP
 b) l'ANAC
 c) alla Banca dati nazionale dei contratti pubblici
 d) per la procedura ristretta
 "
25,"Ai sensi dell'art. 59 comma del D.Lgs. 36/2023 , l'accordo quadro indica:",b,"a) L'idoneità professionale; la capacità economica e finanziaria; le capacità tecniche e professionali
 b) il valore stimato dell'intera operazione contrattuale
 c) le stazioni appaltanti favoriscono l'inserimento nel contratto di clausole di rinegoziazione
 d) fissa le regole per lo svolgimento del procedimento di selezione delle offerte
 "
26,"Ai sensi dell'art. 59 comma del D.Lgs. 36/2023, l'accordo quadro :",d,"a) le stazioni appaltanti favoriscono l'inserimento nel contratto di clausole di rinegoziazione
 b) fissa le regole per lo svolgimento del procedimento di selezione delle offerte
 c) fissa le regole per lo svolgimento del procedimento di selezione delle offerte
 d) non è ammissibile ove l'appalto consequenziale comporti modifiche sostanziali alla tipologia delle prestazioni previste nell'accordo
 "
27,Ai sensi dell'art. 60 comma 1 del D.Lgs. 36/2023:,a,"a) nei documenti di gara iniziali delle procedure di affidamento è obbligatorio l'inserimento delle clausole di revisione prezzi
 b) L'idoneità professionale; la capacità economica e finanziaria; le capacità tecniche e professionali
 c) fissa le regole per lo svolgimento del procedimento di selezione delle offerte
 d) le stazioni appaltanti favoriscono l'inserimento nel contratto di clausole di rinegoziazione
 "
28,Ai sensi dell'art. 60 comma 5 lettera a del D.Lgs. 36/2023 per far fronte ai maggiori oneri derivanti dalla revisione prezzi le stazioni appaltanti utilizzano:,b,"a) affidamento diretto per lavori di importo inferiore a 150.000 euro, anche senza consultazione di più operatori economici
 b) nel limite del 50 per cento, le risorse appositamente accantonate per imprevisti nel quadro economico di ogni intervento, fatte salve le somme relative agli impegni contrattuali già assunti
 c) Il progetto di fattibilità tecnico-economica e il progetto esecutivo
 d) Deve indicare, tra l'altro, i criteri di selezione delle offerte
 "
29,Ai sensi dell'art. 8 comma 1 del D.Lgs. n. 36/2023 le Pubbliche Amministrazioni sono dotate di autonomia contrattuale e possono concludere qualsiasi contratto:,d,"a) affidamento diretto per lavori di importo inferiore a 150.000 euro, anche senza consultazione di più operatori economici
 b) a quattro anni, salvo casi eccezionali debitamente motivati
 c) nel limite del 50 per cento, le risorse appositamente accantonate per imprevisti nel quadro economico di ogni intervento, fatte salve le somme relative agli impegni contrattuali già assunti
 d) anche gratuito salvi i divieti espressamente previsti dal codice e da altre disposizioni di legge
 "
30,"Ai sensi dell'art. 89 comma 1 del D.Lgs. 36/2023 le stazioni appaltanti invitano simultaneamente e per iscritto, attraverso le piattaforme di approvvigionamento digitale, i candidati selezionati a presentare le rispettive offerte o a negoziare oppure a partecipare al dialogo:",d,"a) La domanda di partecipazione; il documento di gara unico europeo; l'offerta; ogni altro documento richiesto per la partecipazione alla procedura di gara
 b) No
 c) No, le procedure di affidamento devono aver luogo nel rispetto degli atti di programmazione
 d) nelle procedure ristrette, nel dialogo competitivo, nei partenariati per l'innovazione, nelle procedure competitive con negoziazione
 "
31,"Ai sensi dell'art. 90 comma 1 lettera d del D.Lgs. 36/2023, le stazioni appaltanti entro quanti giorni comunicano l'esclusione ai candidati e agli offerenti esclusi?",a,"a) Entro cinque giorni dall'adozione del provvedimento
 b) sono resi disponibili in forma digitale, in modo gratuito, illimitato e diretto
 c) nelle procedure ristrette, nel dialogo competitivo, nei partenariati per l'innovazione, nelle procedure competitive con negoziazione
 d) un operatore economico cui è stata affidata o aggiudicata una concessione
 "
32,"Ai sensi dell'art. 90, co. 1, lettera e, del D.Lgs. 36/2023 e s.m.i., le stazioni appaltanti entro quanti giorni comunicano la data di avvenuta stipulazione del contratto con l'aggiudicatario a tutti i candidati e concorrenti che hanno presentato un'offerta ammessa in gara?",a,"a) Entro cinque giorni dall'adozione del provvedimento
 b) sono resi disponibili in forma digitale, in modo gratuito, illimitato e diretto
 c) No, non equivale ad accettazione dell'offerta
 d) nelle procedure ristrette, nel dialogo competitivo, nei partenariati per l'innovazione, nelle procedure competitive con negoziazione
 "
33,"Ai sensi dell'art. 90, comma 1, lettera b, del D.Lgs. 36/2023, le stazioni appaltanti entro quanti giorni comunicano l'aggiudicazione all'aggiudicatario?",d,"a) affidamento diretto per lavori di importo inferiore a 150.000 euro, anche senza consultazione di più operatori economici
 b) fissa le regole per lo svolgimento del procedimento di selezione delle offerte
 c) sono resi disponibili in forma digitale, in modo gratuito, illimitato e diretto
 d) Entro cinque giorni dall'adozione del provvedimento
 "
34,"Ai sensi dell'art. 90, comma 1, lettera c, del D.Lgs. 36/2023, le stazioni appaltanti entro quanti giorni comunicano l'aggiudicazione e il nome dell'offerente cui è stato aggiudicato l'appalto o parti dell'accordo quadro a tutti i candidati e concorrenti che hanno presentato un'offerta ammessa in gara?",c,"a) sono resi disponibili in forma digitale, in modo gratuito, illimitato e diretto
 b) Può stabilire che non si proceda all'aggiudicazione, soltanto, tuttavia, qualora di tale facoltà sia stata data indicazione espressa nel bando di gara o nella lettera d'invito
 c) Entro cinque giorni dall'adozione del provvedimento
 d) No, non equivale ad accettazione dell'offerta
 "
35,"Ai sensi dell'art. 92, co. 4, del D.Lgs. 36/2023, se nel corso della procedura di aggiudicazione la stazione appaltante richiede a un operatore economico un adempimento, per il quale non è previsto un termine , in quanto tempo deve adempiere l'operatore?",a,"a) 10 giorni
 b) Entro cinque giorni dall'adozione del provvedimento
 c) Entro cinque giorni dall'adozione del provvedimento
 d) deve costituire una garanzia denominata ""garanzia definitiva""
 "
36,"Ai sensi dell'art. 92, comma 2, lettera b, del D.Lgs.36/2023, i termini per la presentazione delle domande di partecipazione sono prorogati se sono apportate modifiche significative ai documenti di gara?",c,"a) Entro cinque giorni dall'adozione del provvedimento
 b) Entro cinque giorni dall'adozione del provvedimento
 c) Sì, sempre
 d) affidamento diretto per lavori di importo inferiore a 150.000 euro, anche senza consultazione di più operatori economici
 "
37,"Ai sensi dell'art. 93 comma 2 del D.Lgs.36/2023, la Commissione giudicatrice è composta da un numero:",b,"a) è effettuata dopo la scadenza del termine fissato per la presentazione delle offerte
 b) dispari di componenti con un massimo di cinque
 c) alla natura, all'oggetto e alle caratteristiche del contratto
 d) quello dell'offerta economicamente più vantaggiosa o quello del minor prezzo
 "
38,"Ai sensi dell'art. 93 comma3 DEL d.Lgs.36/2023, della Commissione giudicatrice può far parte il RUP?",c,"a) Sì, Su richiesta del RUP
 b) L'idoneità professionale; la capacità economica e finanziaria; le capacità tecniche e professionali
 c) Sì
 d) sono tassative
 "
39,"Ai sensi dell'art. 99 comma 3 del D.Lgs.36/2023, agli operatori economici possono essere richiesti documenti che comprovano il possesso dei requisiti di partecipazione o altra documentazione utile ai fini dell'aggiudicazione, se questi possono essere acquisiti tramite interoperabilità con la piattaforma digitale nazionale dei dati?",a,"a) No
 b) La domanda di partecipazione; il documento di gara unico europeo; l'offerta; ogni altro documento richiesto per la partecipazione alla procedura di gara
 c) all'avvalimento
 d) Procedura ristretta
 "
40,"Ai sensi dell'art. 99, comma 3, del D.Lgs.36/2023, agli operatori economici possono essere richiesti documenti che comprovano il possesso dei requisiti di partecipazione o altra documentazione utile ai fini dell'aggiudicazione, se questi sono già in possesso della stazione appaltante?",a,"a) No
 b) Entro cinque giorni dall'adozione del provvedimento
 c) Tra l'altro mediante un avviso periodico indicativo, che viene pubblicato in maniera continuativa
 d) Entro cinque giorni dall'adozione del provvedimento
 "
41,"Ai sensi dell'art. 99, comma 3, del D.Lgs.36/2023, agli operatori economici possono essere richiesti documenti che comprovano il possesso dei requisiti di partecipazione o altra documentazione utile ai fini dell'aggiudicazione, se questi sono presenti nel fascicolo virtuale dell'operatore economico?",b,"a) Entro cinque giorni dall'adozione del provvedimento
 b) No
 c) La domanda di partecipazione; il documento di gara unico europeo; l'offerta; ogni altro documento richiesto per la partecipazione alla procedura di gara
 d) Entro cinque giorni dall'adozione del provvedimento
 "
42,"Ai sensi dell'art.10 del D.Lgs 36/2023 le stazioni appaltanti possono introdurre requisiti speciali, attinenti e proporzionati all'oggetto del contratto, di carattere:",d,"a) Entro cinque giorni dall'adozione del provvedimento
 b) affidamento diretto per lavori di importo inferiore a 150.000 euro, anche senza consultazione di più operatori economici
 c) Prima dell'avvio delle procedure di affidamento
 d) economico-finanziario e tecnico-professionale
 "
43,"Ai sensi dell'art.55 comma 1 del D.Lgs. 36/2023, la stipulazione de contratto avviene entro:",b,"a) fissa le regole per lo svolgimento del procedimento di selezione delle offerte
 b) entro trenta giorni dall'aggiudicazione
 c) sono resi disponibili in forma digitale, in modo gratuito, illimitato e diretto
 d) fissa le regole per lo svolgimento del procedimento di selezione delle offerte
 "
44,"Ai sensi dell'art.87, co, 1, del D.Lgs. 36/2023 e s.m.i., il disciplinare di gara:",b,"a) sono resi disponibili in forma digitale, in modo gratuito, illimitato e diretto
 b) fissa le regole per lo svolgimento del procedimento di selezione delle offerte
 c) le stazioni appaltanti favoriscono l'inserimento nel contratto di clausole di rinegoziazione
 d) nei documenti di gara iniziali delle procedure di affidamento è obbligatorio l'inserimento delle clausole di revisione prezzi
 "
45,"Ai sensi dell'art.88, comma 1, del D.Lgs.36/2023, a decorrere dalla data di pubblicazione di un avviso o da quella di invio di un invito a confermare l'interesse i documenti di gara :",a,"a) sono resi disponibili in forma digitale, in modo gratuito, illimitato e diretto
 b) Deve riportare, tra l'altro, i criteri di selezione del contraente
 c) fissa le regole per lo svolgimento del procedimento di selezione delle offerte
 d) gli elementi di identificazione del concorrente e l'indicazione della forma giuridica con la quale si presenta in gara, l'eventuale dichiarazione della volontà di avvalersi di impresa ausiliaria, nonché l'indicazione dei dati e dei documenti relativi ai requisiti speciali di partecipazione
 "
46,"Al fine di favorire l'accesso delle microimprese, piccole e medie imprese alle gare d'appalto, le stazioni appaltanti possono:",a,"a) suddividere l'appalto in lotti funzionali
 b) linee guida, bandi-tipo, capitolati-tipo, contratti-tipo ed altri strumenti di regolazione flessibile, comunque denominati
 c) decretano o determinano di contrarre, individuando gli elementi essenziali del contratto e i criteri di selezione degli operatori economici e delle offerte
 d) Avviene nel rispetto dei principi di imparzialita', pubblicita', trasparenza, partecipazione e parita' di trattamento, mediante procedure comparative riservate alle medesime
 "
47,"Al fine di favorire l'accesso delle microimprese, piccole e medie imprese alle gare d'appalto, le stazioni appaltanti possono:",b,"a) linee guida, bandi-tipo, capitolati-tipo, contratti-tipo ed altri strumenti di regolazione flessibile, comunque denominati
 b) suddividere l'appalto in lotti funzionali
 c) decretano o determinano di contrarre, individuando gli elementi essenziali del contratto e i criteri di selezione degli operatori economici e delle offerte
 d) Avviene nel rispetto dei principi di imparzialita', pubblicita', trasparenza, partecipazione e parita' di trattamento, mediante procedure comparative riservate alle medesime
 "
48,"Al fine di soddisfare la richiesta relativa al possesso dei requisiti di carattere economico, finanziario, tecnico e professionale necessari per la partecipazione ad un appalto pubblico un operatore economico può ricorrere:",c,"a) Sì, Su richiesta del RUP
 b) della SOA per la categoria e classifica prevista dal bando di gara
 c) all'avvalimento
 d) Indice le procedure di scelta del contraente
 "
49,All'ANAC sono attribuiti:,c,"a) le amministrazioni dello Stato; gli enti pubblici territoriali; gli altri enti pubblici non economici; gli organismi di diritto pubblico; le associazioni, unioni, consorzi, comunque denominati, costituiti da detti soggetti
 b) decretano o determinano di contrarre, individuando gli elementi essenziali del contratto e i criteri di selezione degli operatori economici e delle offerte
 c) la vigilanza e il controllo sui contratti pubblici e l'attività di regolazione degli stessi
 d) il programma biennale degli acquisti di beni e servizi e il programma triennale dei lavori pubblici, nonché i relativi aggiornamenti annuali
 "
50,"All'esito positivo del collaudo o della verifica di conformità, da chi è rilasciato il certificato di pagamento ai fini dell'emissione della fattura da parte dell'appaltatore?",d,"a) deve costituire una garanzia denominata ""garanzia definitiva""
 b) contestualmente all'adozione di ogni SAL e comunque entro un termine non superiore a sette giorni dall'adozione degli stessi
 c) applica una detrazione sui successivi pagamenti e procede al pagamento diretto all'affidatario, nonché applica le eventuali diverse sanzioni previste nel contratto
 d) Dal Responsabile unico del procedimento
 "
51,"Appalto di lavori di importo a base di gara soggetto a ribasso di 100.000 Euro, oltre 5.000 Euro per oneri di sicurezza non soggetti a ribasso. Il Concorrente aggiudicatario ha offerto il 10 % di ribasso. Quale sarà l'importo di aggiudicazione dei lavori?",d,"a) Responsabile unico del procedimento
 b) è soggetta ad approvazione dell'organo competente secondo l'ordinamento della stazione appaltante e nel rispetto dei termini dallo stesso previsti
 c) Attraverso una garanzia fideiussoria del 20% aumentata di due punti percentuali per ogni punto di ribasso superiore al 20 per cento
 d) 95.000 Euro
 "
52,Che cos'è il codice CIG?,c,"a) Un codice alfanumerico univoco e obbligatorio che identifica una gara d'appalto
 b) Le Amministrazioni abilitate possono acquistare i beni e servizi offerti da fornitori abilitati per valori inferiori alla soglia comunitaria
 c) Il codice CIG - Codice Identificativo di Gara - è il codice che identifica il singolo affidamento nell'ambito del progetto ed è divenuto ora obbligatorio, ai fini della tracciabilità dei flussi finanziari, in relazione a ciascun contratto pubblico avente ad oggetto lavori, servizi e forniture, a prescindere dall'importo dello stesso e dalla procedura di affidamento prescelta
 d) Il codice CUP (Codice Unitario di Progetto) è obbligatorio solamente con riguardo ad ""ogni nuovo progetto di investimento pubblico""
 "
53,Che cos'è il codice CUP?,a,"a) Il codice CUP (Codice Unitario di Progetto) è obbligatorio solamente con riguardo ad ""ogni nuovo progetto di investimento pubblico""
 b) Il codice CIG - Codice Identificativo di Gara - è il codice che identifica il singolo affidamento nell'ambito del progetto ed è divenuto ora obbligatorio, ai fini della tracciabilità dei flussi finanziari, in relazione a ciascun contratto pubblico avente ad oggetto lavori, servizi e forniture, a prescindere dall'importo dello stesso e dalla procedura di affidamento prescelta
 c) È il Documento di gara unico europeo (DGUE) che consiste in un'autodichiarazione aggiornata come prova documentale preliminare in sostituzione dei certificati rilasciati da autorità pubbliche o terzi in cui il concorrente conferma le situazioni giuridiche ed i criteri di selezione fissati dal d.lgs. 50/2016 e s.m.i. al fine di partecipare a una gara d'appalto
 d) Il Documento di gara unico europeo (DGUE) che consiste in un'autodichiarazione aggiornata come prova documentale preliminare in sostituzione dei certificati rilasciati da autorità pubbliche o terzi in cui il concorrente conferma le situazioni giuridiche ed i criteri di selezione fissati dal D.Lgs. 50/2016 e s.m.i. al fine di partecipare ad una gara d'appalto
 "
54,Che cos'è il DGUE?,b,"a) Un codice alfanumerico univoco e obbligatorio che identifica una gara d'appalto
 b) È il Documento di gara unico europeo (DGUE) che consiste in un'autodichiarazione aggiornata come prova documentale preliminare in sostituzione dei certificati rilasciati da autorità pubbliche o terzi in cui il concorrente conferma le situazioni giuridiche ed i criteri di selezione fissati dal d.lgs. 50/2016 e s.m.i. al fine di partecipare a una gara d'appalto
 c) L'Accordo Quadro consiste in un accordo, concluso tra una stazione appaltante e uno o più operatori economici, il cui scopo è quello di stabilire le condizioni base (prezzi, qualità, quantità) dei successivi appalti (specifici) che saranno aggiudicati dalle singole amministrazioni durante un dato periodo
 d) Le Amministrazioni abilitate possono acquistare i beni e servizi offerti da fornitori abilitati per valori inferiori alla soglia comunitaria
 "
