Id,Domanda,Risposta,Tipo-Domanda
33,"Ai sensi dell'art. 90, comma 1, lettera b, del D.Lgs. 36/2023, le stazioni appaltanti entro quanti giorni comunicano l'aggiudicazione all'aggiudicatario?",Entro cinque giorni dall'adozione del provvedimento,Generazione
34,"Ai sensi dell'art. 90, comma 1, lettera c, del D.Lgs. 36/2023, le stazioni appaltanti entro quanti giorni comunicano l'aggiudicazione e il nome dell'offerente cui è stato aggiudicato l'appalto o parti dell'accordo quadro a tutti i candidati e concorrenti che hanno presentato un'offerta ammessa in gara?",Entro cinque giorni dall'adozione del provvedimento,Generazione
35,"Ai sensi dell'art. 92, co. 4, del D.Lgs. 36/2023, se nel corso della procedura di aggiudicazione la stazione appaltante richiede a un operatore economico un adempimento, per il quale non è previsto un termine , in quanto tempo deve adempiere l'operatore?",10 giorni,Generazione
36,"Ai sensi dell'art. 92, comma 2, lettera b, del D.Lgs.36/2023, i termini per la presentazione delle domande di partecipazione sono prorogati se sono apportate modifiche significative ai documenti di gara?","Sì, sempre",Generazione
37,"Ai sensi dell'art. 93 comma 2 del D.Lgs.36/2023, la Commissione giudicatrice è composta da un numero:",dispari di componenti con un massimo di cinque,Completamento
38,"Ai sensi dell'art. 93 comma3 DEL d.Lgs.36/2023, della Commissione giudicatrice può far parte il RUP?",Sì,Generazione
39,"Ai sensi dell'art. 99 comma 3 del D.Lgs.36/2023, agli operatori economici possono essere richiesti documenti che comprovano il possesso dei requisiti di partecipazione o altra documentazione utile ai fini dell'aggiudicazione, se questi possono essere acquisiti tramite interoperabilità con la piattaforma digitale nazionale dei dati?",No,Generazione
40,"Ai sensi dell'art. 99, comma 3, del D.Lgs.36/2023, agli operatori economici possono essere richiesti documenti che comprovano il possesso dei requisiti di partecipazione o altra documentazione utile ai fini dell'aggiudicazione, se questi sono già in possesso della stazione appaltante?",No,Generazione
41,"Ai sensi dell'art. 99, comma 3, del D.Lgs.36/2023, agli operatori economici possono essere richiesti documenti che comprovano il possesso dei requisiti di partecipazione o altra documentazione utile ai fini dell'aggiudicazione, se questi sono presenti nel fascicolo virtuale dell'operatore economico?",No,Generazione
42,"Ai sensi dell'art.10 del D.Lgs 36/2023 le stazioni appaltanti possono introdurre requisiti speciali, attinenti e proporzionati all'oggetto del contratto, di carattere:",economico-finanziario e tecnico-professionale,Completamento
43,"Ai sensi dell'art.55 comma 1 del D.Lgs. 36/2023, la stipulazione de contratto avviene entro:",entro trenta giorni dall'aggiudicazione,Completamento
44,"Ai sensi dell'art.87, co, 1, del D.Lgs. 36/2023 e s.m.i., il disciplinare di gara:",fissa le regole per lo svolgimento del procedimento di selezione delle offerte,Completamento
45,"Ai sensi dell'art.88, comma 1, del D.Lgs.36/2023, a decorrere dalla data di pubblicazione di un avviso o da quella di invio di un invito a confermare l'interesse i documenti di gara :","sono resi disponibili in forma digitale, in modo gratuito, illimitato e diretto",Completamento
46,"Al fine di favorire l'accesso delle microimprese, piccole e medie imprese alle gare d'appalto, le stazioni appaltanti possono:",suddividere l'appalto in lotti funzionali,Completamento
47,"Al fine di favorire l'accesso delle microimprese, piccole e medie imprese alle gare d'appalto, le stazioni appaltanti possono:",suddividere l'appalto in lotti funzionali,Completamento
48,"Al fine di soddisfare la richiesta relativa al possesso dei requisiti di carattere economico, finanziario, tecnico e professionale necessari per la partecipazione ad un appalto pubblico un operatore economico può ricorrere:",all'avvalimento,Completamento
49,All'ANAC sono attribuiti:,la vigilanza e il controllo sui contratti pubblici e l'attività di regolazione degli stessi,Completamento
50,"All'esito positivo del collaudo o della verifica di conformità, da chi è rilasciato il certificato di pagamento ai fini dell'emissione della fattura da parte dell'appaltatore?",Dal Responsabile unico del procedimento,Generazione
51,"Appalto di lavori di importo a base di gara soggetto a ribasso di 100.000 Euro, oltre 5.000 Euro per oneri di sicurezza non soggetti a ribasso. Il Concorrente aggiudicatario ha offerto il 10 % di ribasso. Quale sarà l'importo di aggiudicazione dei lavori?",95.000 Euro,Generazione
52,Che cos'è il codice CIG?,"Il codice CIG - Codice Identificativo di Gara - è il codice che identifica il singolo affidamento nell'ambito del progetto ed è divenuto ora obbligatorio, ai fini della tracciabilità dei flussi finanziari, in relazione a ciascun contratto pubblico avente ad oggetto lavori, servizi e forniture, a prescindere dall'importo dello stesso e dalla procedura di affidamento prescelta",Generazione
53,Che cos'è il codice CUP?,"Il codice CUP (Codice Unitario di Progetto) è obbligatorio solamente con riguardo ad ""ogni nuovo progetto di investimento pubblico""",Generazione
54,Che cos'è il DGUE?,È il Documento di gara unico europeo (DGUE) che consiste in un'autodichiarazione aggiornata come prova documentale preliminare in sostituzione dei certificati rilasciati da autorità pubbliche o terzi in cui il concorrente conferma le situazioni giuridiche ed i criteri di selezione fissati dal d.lgs. 50/2016 e s.m.i. al fine di partecipare a una gara d'appalto,Generazione
55,Che cos'è il DGUE?,Il Documento di gara unico europeo (DGUE) che consiste in un'autodichiarazione aggiornata come prova documentale preliminare in sostituzione dei certificati rilasciati da autorità pubbliche o terzi in cui il concorrente conferma le situazioni giuridiche ed i criteri di selezione fissati dal D.Lgs. 50/2016 e s.m.i. al fine di partecipare ad una gara d'appalto,Generazione
56,Che cos'è il DGUE?,E' il Documento di gara unico europeo (DGUE) che consiste in un'autodichiarazione aggiornata come prova documentale preliminare in sostituzione dei certificati rilasciati da autorità pubbliche o terzi in cui il concorrente conferma le situazioni giuridiche ed i criteri di selezione fissati dal D.Lgs. 50/2016 e s.m.i. al fine di partecipare ad una gara d'appalto,Generazione
57,"Che cos'è la ""Consip s.p.a.""?",E' una società in house del Ministero dell'economia e delle finanze ed opera nell'esclusivo interesse della Pubblica Amministrazione,Generazione
58,Che cos'è ordine diretto di acquisto (ODA)?,Procedura di acquisto senza negoziazione effettuata da un'amministrazione sul mercato elettronico o in convenzione accedendo al catalogo del fornitore abilitato/aggiudicatario,Generazione
59,"Che cosa si intende per ""contratti attivi"", nell'ambito del Codice dei contratti pubblici?","I ""contratti attivi"" sono quelli dai quali deriva un'entrata per lo Stato e che non producono spesa",Generazione
60,Che cosa si intende per offerta anomala negli appalti pubblici?,"Un'offerta che appare anormalmente bassa sulla base di un giudizio tecnico di congruità, serietà, sostenibilità e realizzabilità",Generazione
61,Che cosa significa l'acronimo MEPA?,Mercato Elettronico della Pubblica Amministrazione,Generazione
62,"Che cosa s'intende per ""contratti sotto soglia""?",Contratti pubblici il cui valore stimato al netto dell'IVA è inferiore alla soglia di cui alla normativa europea,Generazione
63,"Che valore ha il rating di legalità nel criterio di aggiudicazione del ""minor prezzo""?",Il rating di legalità non ha valore in relazione a questo criterio di aggiudicazione,Generazione
64,Chi è il RUP secondo quanto previsto dal codice dei contratti?,il responsabile unico del procedimento,Generazione
65,Chi formalmente procede alla valutazione delle offerte con il criterio dell'offerta economicamente più vantaggiosa?,La commissione giudicatrice,Generazione
66,Chi nomina il RUP?,La stazione appaltante,Generazione
67,Chi nomina la figura del presidente di commissione di aggiudicazione?,La stazione appaltante tra i membri della commissione,Generazione
68,Chi può fare acquisti in MEPA?,Le Amministrazioni abilitate possono acquistare i beni e servizi offerti da fornitori abilitati per valori inferiori alla soglia comunitaria,Generazione
69,Chi può partecipare ad una gara posta in essere con procedura aperta?,Ogni operatore economico interessato,Generazione
70,Chi può partecipare ad una gara posta in essere con procedura ristretta?,"Ogni operatore economico può chiedere di partecipare, ma potranno partecipare solo gli operatori invitati dalla stazione appaltante",Generazione
71,Chi può presentare i propri cataloghi nel Mercato Elettronico della Pubblica Amministrazione?,Solo i fornitori abilitati da Consip spa,Generazione
72,Chi si occupa dell'acquisizione del DURC?,Le stazioni appaltanti e gli enti aggiudicatori,Generazione
73,Chi si occupa di definire i prodotti presenti nei cataloghi del M.E.P.A.?,La Consip spa,Generazione
74,Com'è definito il collegio della commissione giudicatrice?,"Un collegio perfetto, perché ogni membro può contribuire al valore aggiunto della stessa",Generazione
75,Come è determinato il valore stimato di un appalto?,"E' basato sull'importo totale pagabile, al netto dell'IVA, dall'Amministrazione compresa qualsiasi forma di opzione e rinnovo contrattuale",Generazione
76,Come si chiamano i contratti in cui l'obbligo di prestazione o i sacrifici economici direttamente previsti nel contratto gravano solo su una o alcune delle parti contraenti?,Contratti a titolo gratuito,Generazione
77,Come si chiamano le procedure di affidamento in cui ogni operatore economico interessato può presentare un'offerta?,Procedure aperte (D.lgs. 36/2023 e s.m.i.),Generazione
78,"Come si identificano i criteri di ""qualità"" nei casi di Offerta Economica più vantaggiosa?","La qualità e il maggior pregio si basano su criteri oggettivi, quali gli aspetti qualitativi, ambientali e/o sociali, connessi all'oggetto dell'appalto",Generazione
79,Come si quantifica la garanzia nei casi di aggiudicazione ad un ribasso maggiore del 20%?,Attraverso una garanzia fideiussoria del 20% aumentata di due punti percentuali per ogni punto di ribasso superiore al 20 per cento,Generazione
80,"Come viene qualificato, secondo il Codice dei contratti, uno dei principi fondamentali per l'affidamento diretto dei servizi e forniture sottosoglia?",Il principio di rotazione degli operatori economici,Generazione
81,Con la determinazione di approvazione del bando di gara:,si prenota l'impegno di spesa,Completamento
82,Con quale atto inizia una procedura di affidamento di lavori sotto soglia comunitaria?,Determinazione a contrarre,Generazione
83,"Con riferimento al procedimento ad evidenza pubblica, la determinazione a contrattare:","Deve indicare, tra l'altro, gli elementi essenziali del futuro contratto",Completamento
84,"Con riferimento al procedimento ad evidenza pubblica, la determinazione a contrattare:","Deve indicare, tra l'altro, i criteri di selezione delle offerte",Completamento
85,"Con riferimento al procedimento ad evidenza pubblica, la determinazione a contrattare:","Deve indicare, tra l'altro, i criteri di selezione del contraente",Completamento
86,"Con riferimento al procedimento ad evidenza pubblica, la determinazione a contrattare:","Deve indicare, tra l'altro, i criteri di selezione degli operatori economici",Completamento
87,"Con riferimento al procedimento ad evidenza pubblica, la determinazione a contrattare:","Deve indicare, tra l'altro, gli elementi essenziali del contratto",Completamento
88,"Con riferimento al procedimento ad evidenza pubblica, la determinazione a contrattare:","Deve indicare, tra l'altro, i criteri di selezione delle offerte",Completamento
89,"Con riferimento al ruolo e alle funzioni del responsabile del procedimento negli appalti e nelle concessioni, quale tra le seguenti alternative NON è un compito del RUP?",Pronunciarsi sulla localizzazione e stato dell'opera,Generazione
90,"Con riferimento alle fasi delle procedure di affidamento dei contratti pubblici, l'aggiudicazione equivale ad accettazione dell'offerta?","No, non equivale ad accettazione dell'offerta",Generazione
91,"Con riferimento alle procedure per l'affidamento dei contratti pubblici di importo inferiore alle soglie di rilevanza comunitaria, in applicazione del principio di non discriminazione e di parità di trattamento le stazioni appaltanti devono garantire:",Una valutazione equa ed imparziale dei concorrenti e l'eliminazione di ostacoli o restrizioni nella predisposizione delle offerte e nella loro valutazione,Completamento
92,Cos'è il subappalto?,il contratto con il quale l'appaltatore affida a terzi l'esecuzione di parte delle prestazioni o lavorazioni oggetto del contratto di appalto,Generazione
93,Cos'è la delibera a contrarre nel sistema di formazione del contratto pubblico?,Un atto mediante il quale la P.A. manifesta la volontà di concludere un contratto,Generazione
94,Cos'è la determina a contrarre nel sistema di formazione del contratto pubblico?,Un atto mediante il quale la P.A. manifesta la volontà di concludere un contratto,Generazione
95,Cos'è la determina a contrarre?,È la determina con cui il dirigente comunale manifesta la volontà dell'Amministrazione di indire una procedura di gara e concludere un contratto,Generazione
96,Cosa è il CIG?,Un codice alfanumerico univoco e obbligatorio che identifica una gara d'appalto,Generazione
97,Cosa è il MEPA?,Mercato elettronico della pubblica amministrazione,Generazione
98,Cosa è un Accordo Quadro?,"L'Accordo Quadro consiste in un accordo, concluso tra una stazione appaltante e uno o più operatori economici, il cui scopo è quello di stabilire le condizioni base (prezzi, qualità, quantità) dei successivi appalti (specifici) che saranno aggiudicati dalle singole amministrazioni durante un dato periodo",Generazione
99,Cosa accade alla commissione di aggiudicazione nei casi in cui si ha l'esclusione di uno dei concorrenti?,"Non vi è decadenza della commissione, che rimane in carica",Generazione
100,Cosa consente di rilevare il valore dell'importo a base di gara?,Serve per rilevare il superamento delle soglie comunitarie,Generazione
101,Cosa determina la mancata costituzione della garanzia?,La decadenza dell'assegnatario,Generazione
102,Cosa devono garantire i criteri di aggiudicazione dell'appalto?,"La possibilità di una concorrenza effettiva e sono accompagnati da specifiche che consentono l'efficace verifica delle informazioni fornite dagli offerenti, al fine di valutare il grado di soddisfacimento dei criteri di aggiudicazione delle offerte",Generazione
103,Cosa di intende per CIG?,Codice Identificativo di Gara,Generazione
104,Cosa indica la Determina a contrarre?,Le modalità di gara e le clausole contrattuali essenziali,Generazione
105,Cosa si intende per CIG?,Codice Identificativo di Gara,Generazione
106,Cosa si intende per offerta economicamente più vantaggiosa?,Il miglior rapporto qualità/prezzo,Generazione
107,Cosa si intende per requisiti di partecipazione ad una gara per l'affidamento di un appalto pubblico?,Le caratteristiche tecnico-organizzative e economiche-finanziarie che l'impresa deve possedere per partecipare alla gara,Generazione
108,"Cosa s'intende per ""contratti pubblici esclusi""?",I contratti pubblici esclusi in tutto o in parte dall'applicazione del d.lgs. 50/2016 nel quale sono dettati per essi i principi generali,Generazione
109,"Cosa s'intende per ""Joint Venture""?","L'associazione tra due o più enti, finalizzata all'attuazione di un progetto o di una serie di progetti o di determinate intese di natura commerciale o finanziaria",Generazione
110,"Cosa s'intende per ""Procedure Negoziate""?",Le procedure di affidamento in cui le stazioni appaltanti consultano gli operatori economici da loro scelti e negoziano con uno o più di essi le condizioni dell'appalto,Generazione
111,Cosa s'intende per M.E.P.A. (Mercato Elettronico della Pubblica Amministrazione)?,Si tratta di un mercato selettivo on-line nel quale i fornitori offrono in maniera diretta i propri beni e servizi e le amministrazioni emettono gli ordini d'acquisto direttamente,Generazione
112,Cosa sono le Convenzioni?,"Le convenzioni sono Contratti quadro, stipulati da Consip per conto del MEF, nei quali i fornitori aggiudicatari di gare si impegnano ad accettare ordinativi emessi dalle singole Amministrazioni che hanno effettuato l'abilitazione al sistema Acquisti in Rete",Generazione
113,Cosa sono le verifiche a sorpresa in corso di esecuzione del contratto?,Verifiche della stazione appaltante non programmate,Generazione
114,Cosa verifica il DURC?,La regolarità contributiva dell'operatore economico,Generazione
115,Da quale importo risulta necessario effettuare l'acquisto di beni e servizi tramite il Mercato elettronico?,"5.000,00 euro al netto dell'IVA",Generazione
116,Di quali figure si avvale il RUP nella fase di esecuzione?,"Il RUP si avvale del direttore dei lavori, del coordinatore in materia di salute e sicurezza durante la fase di esecuzione secondo la normativa prevista nonché del collaudatore e del verificatore della conformità",Generazione
117,Di regola cosa è presente nel Progetto Esecutivo?,La certezza dei tempi e dei costi previsti,Generazione
118,Dopo l'assegnazione si arriva ad un contratto che sarà normato da:,regole di diritto privato,Completamento
119,Dopo l'assegnazione si arriva ad un contratto che sarà normato da:,regole di diritto privato,Completamento
120,Dove è pubblicato il programma biennale degli acquisti di beni e servizi nonché i relativi aggiornamenti annuali?,"È pubblicato sul profilo del committente, sul sito informatico del Ministero delle infrastrutture e dei trasporti e dell'Osservatorio dei contratti pubblici",Generazione
121,"E' possibile per le stazioni appaltanti procedere all'affidamento di lavori, servizi e forniture con il sistema dell'affidamento diretto?","Si, secondo le modalita' e i criteri stabiliti dal codice dei contratti",Generazione
122,E' sempre obbligatoria l'adozione della determina a contrarre preventivamente all'avvio delle procedure di affidamento?,"No, solo in caso di procedura negoziata e procedura aperta",Generazione
123,"Fatte salve le eccezioni di legge, il criterio per l'aggiudicazione degli appalti è:",quello dell'offerta economicamente più vantaggiosa o quello del minor prezzo,Completamento
124,"Generalmente entro quanti giorni, dalla loro trasmissione, vengono pubblicati gli avvisi e i bandi di gara?",Entro cinque giorni,Generazione
125,"Gli appalti pubblici si distinguono in attivi e passivi. Che cosa si intende per ""contratti attivi""?","I ""contratti attivi"" sono quelli dai quali deriva un'entrata per lo Stato e che non producono spesa",Generazione
126,Gli atti delle amministrazioni aggiudicatrici relativi alla programmazione di lavori e opere devono essere resi pubblici?,Si,Generazione
127,Gli atti delle amministrazioni aggiudicatrici relativi alla programmazione di servizi e forniture:,"Devono essere pubblicati nella sezione ""Amministrazione trasparente""",Completamento
128,Gli atti delle amministrazioni aggiudicatrici relativi alle procedure per l'affidamento di concorsi pubblici di progettazione devono essere resi pubblici?,Sì,Generazione
129,Gli atti relativi alle procedure per l'affidamento di concorsi di idee e di concessioni delle amministrazioni aggiudicatrici devono essere resi pubblici?,"Si, devono essere pubblicati nella sezione ""Amministrazione trasparente""",Generazione
130,Gli enti aggiudicatori possono limitare:,il numero di candidati idonei da invitare a partecipare alla procedura,Completamento
131,Gli operatori economici possono riutilizzare il DGUE utilizzato in una procedura d'appalto precedente?,"Si, purché confermino che le informazioni ivi contenute sono ancore valide",Generazione
132,"Gli operatori economici, in sede di offerta, indicano:",le parti del contratto di concessione che intendono subappaltare a terzi,Completamento
133,"I capitolati e il computo estimativo metrico, richiamati nel bando o nell'invito, fanno parte integrante del contratto?","Sì, sempre",Generazione
134,I certificati di pagamento relativi agli acconti del corrispettivo di appalto sono di norma emessi:,contestualmente all'adozione di ogni SAL e comunque entro un termine non superiore a sette giorni dall'adozione degli stessi,Completamento
135,"I concorrenti alle gare, nell'ambito della verifica del requisito di idoneità professionale, a quale dei seguenti albi/registri sono obbligati ad essere iscritti?",Registro della Camera di Commercio industria o artigianato,Generazione
136,"I contratti stipulati per iscritto tra una o più stazioni appaltanti e uno o più operatori economici aventi per oggetto l'esecuzione, oppure la progettazione esecutiva e l'esecuzione di un'opera sono:",Appalti pubblici di lavori,Completamento
137,I criteri di selezione riguardano esclusivamente:,"i requisiti di idoneità professionale, la capacità economica e finanziaria e le capacità tecniche e professionali",Completamento
138,"I documenti di gara stabiliscono i criteri di aggiudicazione dell'offerta, pertinenti:","alla natura, all'oggetto e alle caratteristiche del contratto",Completamento
139,I principali sistemi di scelta del contraente negli appalti pubblici sono:,"La procedura negoziata, la procedura ristretta e la procedura aperta",Completamento
140,"Il ""concessionario"" è:",un operatore economico cui è stata affidata o aggiudicata una concessione,Completamento
141,Il calcolo del valore stimato di un appalto misto di servizi e forniture si fonda sul valore totale dei servizi e delle forniture:,prescindendo dalle rispettive quote e tale calcolo comprende il valore delle operazioni di posa e di installazione,Completamento
142,Il codice CIG va richiesto anche per i contratti per i quali attualmente non esiste l'obbligo del versamento del contributo all'Autorità?,"Sì, è obbligatorio richiedere il codice CIG, ai fini della tracciabilità, per tutti i contratti di lavori, servizi e forniture, a prescindere dall'importo degli stessi e dalle modalità di affidamento e quindi anche per i contratti esclusi dall'obbligo del versamento del contributo in favore dell'Autorità",Generazione
143,"Il Codice degli appalti disciplina, tra le modalità di scelta del contraente, anche la procedura ristretta. Qual è normalmente il termine minimo per la ricezione delle domande di partecipazione?",Trenta giorni dalla data di trasmissione del bando di gara,Generazione
144,Il Codice degli appalti stabilisce che gli operatori economici in possesso della Certificazione UNI EN ISO 9000 possano presentare una garanzia provvisoria ridotta. A quanto ammonta tale riduzione?,Al 50%,Generazione
145,Il Codice degli appalti stabilisce che l'asta elettronica è:,"Un processo per fasi successive basato su un dispositivo elettronico di presentazione di nuovi prezzi modificati al ribasso o di nuovi valori riguardanti taluni elementi delle offerte, che interviene dopo una prima valutazione completa delle offerte permettendo che la loro classificazione possa essere effettuata sulla base di un trattamento automatico",Completamento
146,Il Codice dei contratti pubblici disciplina gli appalti:,"di servizi, forniture, lavori e opere",Completamento
147,Il Codice Identificativo di gara (CIG) viene acquisito attraverso:,la Banca dati nazionale dei contratti pubblici,Completamento
148,Il contraente può essere scelto attraverso:,"un sistema procedurale definito ""aperto""",Completamento
149,Il contratto tipico è quello:,Espressamente previsto e disciplinato dalla legge,Completamento
150,Il D.U.R.C. è:,Documento Unico Regolarità Contributiva,Completamento
151,Il dialogo competitivo è da ritenersi una procedura di scelta del contraente?,"Sì, il dialogo competitivo è una procedura di scelta del contraente",Generazione
152,Il diritto d'accesso agli atti delle procedure di affidamento e di esecuzione dei contratti...,"È ammesso e trova applicazione la l.241/90, salvo quanto stabilito dal d.lgs. 50/2016",Completamento
153,Il Documento di gara unico europeo (DGUE) è:,"un'autodichiarazione dell'impresa sulla propria situazione finanziaria, sulle proprie capacita' e sulla propria idoneita' per una procedura di appalto pubblico",Completamento
154,Il Fornitore che nomina l'Operatore Delegato:,"si assume ogni responsabilità con riferimento alla scelta, alla nomina ed all'attività svolta da quest'ultimo",Completamento
155,Il mercato elettronico:,è uno strumento di acquisto e di negoziazione che consente acquisti telematici per importi inferiori alla soglia di rilievo europeo,Completamento
156,Il nominativo del responsabile del procedimento è indicato nel bando o avviso con cui si indice la gara?,"Si, sempre",Generazione
157,Il nominativo del RUP deve essere indicato nel bando o avviso con cui si indice la gara per l'affidamento del contratto di servizi e forniture?,"Si, obbligatoriamente",Generazione
